other,10:00,BnA Alter Museum 到着 | 中尾香織,
org,10:00 - 12:00,吹き抜け部分を空っぽにする 到着 | 中尾香織,
motto,1,P E H U is 片付け (Summer Collection → UR box | 私物 → 白ダンボール小),
org,2,単管作業台・奥のコンテナ系をバー部分に移動,
motto,3,スクリーン印刷系片付け (白ダンボール大),
org,4,機材系片付け (URとKAHMを分別して片付ける),
org,12:00 - 14:00,作品・商品を片付ける,
org,1,ペフ出版物（トランク）,
org,在庫数確認,CSVファイルの popup 部分を最終在庫数に書き換える | フロント売上票と照らし合わせる,
org,2,ペフ所蔵作品（UR BOX）,
org,3,コイン（KAHM BOX）,
other,14:00,中抜け | 中尾香織,
other,with TK,吹き抜け作業,
other,11:00 - 18:00,足場を組む | 担当:TK,
other,1,吹き抜け2F撮影,
motto,2,P E H U is (私物 → 白ダンボール小),
org,3,ポスター類 (UR アタッシュケース・筒ダンボール) 玩具系 (UR BOX) 壊れたもの・記録資料 (KAHM BOX),
org,,コンテナに商品を片付ける | ささじま,
org,1,私物サンプルカセット（棚上のカセットBOX）,
org,2,販売用カセット（試聴機横カセットBOX）,
org,3,その他販売物・私物（トラスココンテナ）,
org,在庫数確認,CSVファイルの popup 部分を最終在庫数に書き換える | フロント売上票と照らし合わせる,
other,最終チェック,掃除・忘れ物チェック,
org,1,ディスプレイ・スティックPCx2 マウスx1 キーボードx1 撤収(UR/KAHM BOX),
org,2,試聴機撤収,
map,3,カフェ営業終わりに2F地図作品撤収,
other,4,ラベルステッカー剥がす,
other,5,壁の補修,
other,6,単管バラシ,
other,7,エントランス受付内チェック,
other,23:00,車で到着 | 中尾香織,
other,※,荷物詰め込み | 出発,
other,25:00,KAHM到着,
other,26:00,UR到着,
